method,replicate,n,p,q,density,top_k,candidate_count,candidate_recall,edge_overlap_vs_sparxcc_iter,sign_accuracy_vs_truth,auroc_vs_truth,recall_at_K_vs_truth,wallclock_seconds,peak_bytes,fallback_reason,calibration_method,prior_count,data_disagreed_with_prior_count
sparxcc_iter,0,500,500,500,0.01,10,250000,1.0,1.0,1.0,0.9997687515151515,0.9656,0.024812999999994645,38045120,,,0,0
sparxcc_base,0,500,500,500,0.01,10,250000,1.0,1.0,1.0,0.9997687515151515,0.9656,0.017160957999294624,24027016,,,0,0
falcon_sr_cross_fast,0,500,500,500,0.01,10,11230,0.9984,0.9984012789768185,1.0,0.9989154731313131,0.9656,0.13094450000062352,22027840,,,0,0
falcon_sr_cross_prior,0,500,500,500,0.01,10,11233,0.9996,0.9700551615445232,1.0,0.9996205705050505,0.9776,0.14982270800101105,22028160,,,1250,0
falcon_sr_cross_fast_calibrated,0,500,500,500,0.01,10,11230,0.9984,0.9984012789768185,1.0,0.9989154731313131,0.9656,0.5406340839999757,30694419,,permutation_base_only,0,0
sparxcc_iter,1,500,500,500,0.01,10,250000,1.0,1.0,1.0,0.9994481422222222,0.9596,0.028056917000867543,38044912,,,0,0
sparxcc_base,1,500,500,500,0.01,10,250000,1.0,1.0,1.0,0.9994481422222222,0.9596,0.01596941599927959,24026912,,,0,0
falcon_sr_cross_fast,1,500,500,500,0.01,10,11217,0.9952,0.9984012789768185,1.0,0.9971843943434343,0.9596,0.14105383300011454,22027648,,,0,0
falcon_sr_cross_prior,1,500,500,500,0.01,10,11223,0.9976,0.9592476489028213,1.0,0.9982727595959596,0.9744,0.12974866700096754,22027648,,,1250,0
falcon_sr_cross_fast_calibrated,1,500,500,500,0.01,10,11217,0.9952,0.9984012789768185,1.0,0.9971843943434343,0.9596,0.5661159589999443,30692091,,permutation_base_only,0,0
sparxcc_iter,2,500,500,500,0.01,10,250000,1.0,1.0,1.0,0.9992183256565657,0.9608,0.028928374998940853,38044912,,,0,0
sparxcc_base,2,500,500,500,0.01,10,250000,1.0,1.0,1.0,0.9992183256565657,0.9608,0.015105750000657281,24026912,,,0,0
falcon_sr_cross_fast,2,500,500,500,0.01,10,11291,0.9976,0.9984012789768185,1.0,0.9984759806060606,0.9612,0.1431927089997771,22027648,,,0,0
falcon_sr_cross_prior,2,500,500,500,0.01,10,11293,0.9984,0.9716088328075709,1.0,0.9990711256565656,0.9732,0.1297197910007526,22027648,,,1250,0
falcon_sr_cross_fast_calibrated,2,500,500,500,0.01,10,11291,0.9976,0.9984012789768185,1.0,0.9984759806060606,0.9612,0.4692560830008006,30696299,,permutation_base_only,0,0
sparxcc_iter,0,500,500,500,0.01,25,250000,1.0,1.0,1.0,0.9997687515151515,0.9656,0.025282333001086954,38045120,,,0,0
sparxcc_base,0,500,500,500,0.01,25,250000,1.0,1.0,1.0,0.9997687515151515,0.9656,0.012897999999040621,24027016,,,0,0
falcon_sr_cross_fast,0,500,500,500,0.01,25,26964,1.0,0.9984012789768185,1.0,0.9997671903030303,0.9656,0.1327488330007327,22027840,,,0,0
falcon_sr_cross_prior,0,500,500,500,0.01,25,26964,1.0,0.9700551615445232,1.0,0.9998991288888889,0.9776,0.1644937499986554,22027776,,,1250,0
falcon_sr_cross_fast_calibrated,0,500,500,500,0.01,25,26964,1.0,0.9984012789768185,1.0,0.9997671903030303,0.9656,0.5485226250002597,31514195,,permutation_base_only,0,0
sparxcc_iter,1,500,500,500,0.01,25,250000,1.0,1.0,1.0,0.9994481422222222,0.9596,0.027290666001135833,38044912,,,0,0
sparxcc_base,1,500,500,500,0.01,25,250000,1.0,1.0,1.0,0.9994481422222222,0.9596,0.013017291999858571,24026912,,,0,0
falcon_sr_cross_fast,1,500,500,500,0.01,25,26862,0.9988,0.9984012789768185,1.0,0.9991640387878787,0.9596,0.16147724999973434,22027648,,,0,0
falcon_sr_cross_prior,1,500,500,500,0.01,25,26865,1.0,0.9592476489028213,1.0,0.9998054804040404,0.9744,0.1554669590004778,22028128,,,1250,0
falcon_sr_cross_fast_calibrated,1,500,500,500,0.01,25,26862,0.9988,0.9984012789768185,1.0,0.9991640387878787,0.9596,0.5931359170008363,31512891,,permutation_base_only,0,0
sparxcc_iter,2,500,500,500,0.01,25,250000,1.0,1.0,1.0,0.9992183256565657,0.9608,0.028167915999802062,38044912,,,0,0
sparxcc_base,2,500,500,500,0.01,25,250000,1.0,1.0,1.0,0.9992183256565657,0.9608,0.013761333000729792,24026912,,,0,0
falcon_sr_cross_fast,2,500,500,500,0.01,25,26930,0.998,0.9984012789768185,1.0,0.9987115296969697,0.9612,0.15302691699980642,22027648,,,0,0
falcon_sr_cross_prior,2,500,500,500,0.01,25,26932,0.9988,0.9716088328075709,1.0,0.9993240630303031,0.9732,0.1724450000001525,22027648,,,1250,0
falcon_sr_cross_fast_calibrated,2,500,500,500,0.01,25,26930,0.998,0.9984012789768185,1.0,0.9987115296969697,0.9612,0.5809661660005077,31513979,,permutation_base_only,0,0
