method,replicate,n,p,density,top_k,candidate_count,candidate_recall,edge_overlap_vs_sparcc,sign_accuracy_vs_truth,auroc_vs_truth,recall_at_K_vs_truth,wallclock_seconds,peak_bytes,fallback_reason,calibration_method
sparcc_py,2,100,100,0.02,50,4950,1.0,1.0,1.0,0.9952295580001208,0.8585858585858586,0.0005445000006147893,696112,,
pearson_clr,2,100,100,0.02,50,4950,1.0,0.9038461538461539,1.0,0.995341999671004,0.8686868686868687,0.0006348329989123158,400040,,
pearson_raw,2,100,100,0.02,50,4950,1.0,0.13142857142857142,0.9797979797979798,0.8168137778527389,0.21212121212121213,0.0005380839993449626,322704,,
spieceasi_mb,2,100,100,0.02,50,4950,1.0,0.6779661016949152,0.98989898989899,0.9926090423925922,0.8686868686868687,0.20093549999910465,481000,,
spieceasi_glasso,2,100,100,0.02,50,4950,1.0,0.8333333333333334,1.0,0.9963664682279401,0.8787878787878788,0.19436645799942198,633381,,
falcon_sr_strict,2,100,100,0.02,50,4950,1.0,0.98,1.0,0.9950796357722764,0.8585858585858586,0.006592334000742994,645672,,
falcon_sr_fast,2,100,100,0.02,50,4950,1.0,0.98,1.0,0.9950796357722764,0.8585858585858586,0.031418167000083486,1135805,,
falcon_sr_fast_calibrated,2,100,100,0.02,50,4950,1.0,0.98,1.0,0.9950796357722764,0.8585858585858586,0.22506691600028716,1623292,,permutation_base_only
sparcc_py,0,100,500,0.02,10,124750,1.0,1.0,0.917434869739479,0.7509196594489539,0.18396793587174348,0.007039916001303936,9345912,,
pearson_clr,0,100,500,0.02,10,124750,1.0,0.9637937819756002,0.9150300601202405,0.7506953115260827,0.18476953907815633,0.0028610829995159293,2805096,,
pearson_raw,0,100,500,0.02,10,124750,1.0,0.07081545064377683,0.8821643286573146,0.6620636864912189,0.09659318637274548,0.0028895830000692513,3206032,,
spieceasi_mb,0,100,500,0.02,10,124750,1.0,0.36600054749520944,0.349498997995992,0.6448593362751023,0.18557114228456914,1.6641557500006456,7134144,,
spieceasi_glasso,0,100,500,0.02,10,124750,1.0,0.30083420229405633,0.6452905811623246,0.706325336452628,0.16993987975951905,35.56247070899917,10886054,,
falcon_sr_strict,0,100,500,0.02,10,124750,1.0,0.9983980776932319,0.9170340681362725,0.7508952058138607,0.18396793587174348,0.07258516699948814,16015416,,
falcon_sr_fast,0,100,500,0.02,10,5741,0.2985971943887776,0.9975980784627703,0.9986577181208054,0.6307546637998094,0.18396793587174348,0.09457758400094463,10809944,,
falcon_sr_fast_calibrated,0,100,500,0.02,10,5741,0.2985971943887776,0.9975980784627703,0.9986577181208054,0.6307546637998094,0.18396793587174348,1.0790787919995637,16100500,,permutation_base_only
sparcc_py,1,100,500,0.02,10,124750,1.0,1.0,0.9106212424849699,0.7452548153851362,0.1963927855711423,0.005098499999803607,9345800,,
pearson_clr,1,100,500,0.02,10,124750,1.0,0.9576304433111024,0.9102204408817636,0.7449718692220644,0.19559118236472947,0.004921040999761317,2804944,,
pearson_raw,1,100,500,0.02,10,124750,1.0,0.06510138740661686,0.8857715430861723,0.6635908404269174,0.09218436873747494,0.0023545000003650784,3205904,,
spieceasi_mb,1,100,500,0.02,10,124750,1.0,0.36824787496572525,0.36392785571142283,0.6521138370971218,0.19198396793587175,1.4864055830003053,7130568,,
spieceasi_glasso,1,100,500,0.02,10,124750,1.0,0.2910737386804657,0.6476953907815631,0.7079747159445061,0.17314629258517034,26.367150582998875,10885751,,
falcon_sr_strict,1,100,500,0.02,10,124750,1.0,0.9975980784627703,0.9110220440881763,0.7452311420108222,0.1963927855711423,0.07345970799906354,16015368,,
falcon_sr_fast,1,100,500,0.02,10,5707,0.3038076152304609,0.9975980784627703,0.9934036939313984,0.6338172660399938,0.1963927855711423,0.06805937500030268,10809840,,
falcon_sr_fast_calibrated,1,100,500,0.02,10,5707,0.3038076152304609,0.9975980784627703,0.9934036939313984,0.6338172660399938,0.1963927855711423,1.1157190000012633,16099531,,permutation_base_only
sparcc_py,2,100,500,0.02,10,124750,1.0,1.0,0.92625250501002,0.7631705503354671,0.21282565130260522,0.004372499999590218,9345800,,
pearson_clr,2,100,500,0.02,10,124750,1.0,0.9622493118364137,0.9258517034068137,0.7632263652084341,0.21282565130260522,0.002598375000161468,2804944,,
pearson_raw,2,100,500,0.02,10,124750,1.0,0.06989708404802744,0.8829659318637274,0.6622552175636701,0.10821643286573146,0.00268658300046809,3205904,,
spieceasi_mb,2,100,500,0.02,10,124750,1.0,0.37655172413793103,0.374749498997996,0.6584387112944141,0.1975951903807615,1.3713043330008077,7130568,,
spieceasi_glasso,2,100,500,0.02,10,124750,1.0,0.2977893368010403,0.6641282565130261,0.7177440595476667,0.17835671342685372,30.122122250000757,10885696,,
falcon_sr_strict,2,100,500,0.02,10,124750,1.0,0.9983980776932319,0.92625250501002,0.7631364319576128,0.21282565130260522,0.062475749999066466,16015368,,
falcon_sr_fast,2,100,500,0.02,10,5686,0.3114228456913828,0.9983980776932319,0.9987129987129987,0.6381211648277128,0.21282565130260522,0.0596332919994893,10809840,,
falcon_sr_fast_calibrated,2,100,500,0.02,10,5686,0.3114228456913828,0.9983980776932319,0.9987129987129987,0.6381211648277128,0.21282565130260522,0.9954237919992011,16097110,,permutation_base_only
sparcc_py,0,100,500,0.02,25,124750,1.0,1.0,0.917434869739479,0.7509196594489539,0.18396793587174348,0.004026999999041436,9345912,,
pearson_clr,0,100,500,0.02,25,124750,1.0,0.9637937819756002,0.9150300601202405,0.7506953115260827,0.18476953907815633,0.0048646249997545965,2805048,,
pearson_raw,0,100,500,0.02,25,124750,1.0,0.07081545064377683,0.8821643286573146,0.6620636864912189,0.09659318637274548,0.0016949170003499603,3205984,,
spieceasi_mb,0,100,500,0.02,25,124750,1.0,0.36600054749520944,0.349498997995992,0.6448593362751023,0.18557114228456914,1.0627459170009388,7130808,,
spieceasi_glasso,0,100,500,0.02,25,124750,1.0,0.30083420229405633,0.6452905811623246,0.706325336452628,0.16993987975951905,32.27860108300047,10885736,,
falcon_sr_strict,0,100,500,0.02,25,124750,1.0,0.9983980776932319,0.9170340681362725,0.7508952058138607,0.18396793587174348,0.06652708299952792,16015416,,
falcon_sr_fast,0,100,500,0.02,25,13660,0.4501002004008016,0.9983980776932319,0.9946571682991986,0.6822835774202693,0.18396793587174348,0.07540666699969734,10809944,,
falcon_sr_fast_calibrated,0,100,500,0.02,25,13660,0.4501002004008016,0.9983980776932319,0.9946571682991986,0.6822835774202693,0.18396793587174348,0.998123499999565,16516329,,permutation_base_only
sparcc_py,1,100,500,0.02,25,124750,1.0,1.0,0.9106212424849699,0.7452548153851362,0.1963927855711423,0.005959874999462045,9345800,,
pearson_clr,1,100,500,0.02,25,124750,1.0,0.9576304433111024,0.9102204408817636,0.7449718692220644,0.19559118236472947,0.005242875000476488,2804944,,
pearson_raw,1,100,500,0.02,25,124750,1.0,0.06510138740661686,0.8857715430861723,0.6635908404269174,0.09218436873747494,0.0023568329997942783,3205904,,
spieceasi_mb,1,100,500,0.02,25,124750,1.0,0.36824787496572525,0.36392785571142283,0.6521138370971218,0.19198396793587175,2.0741225829988252,7130568,,
spieceasi_glasso,1,100,500,0.02,25,124750,1.0,0.2910737386804657,0.6476953907815631,0.7079747159445061,0.17314629258517034,40.803238875001625,10886863,,
falcon_sr_strict,1,100,500,0.02,25,124750,1.0,0.9975980784627703,0.9110220440881763,0.7452311420108222,0.1963927855711423,0.08707937500003027,16015368,,
falcon_sr_fast,1,100,500,0.02,25,13670,0.457314629258517,0.9975980784627703,0.992988606485539,0.6865426866165361,0.1963927855711423,0.09583508300056565,10809840,,
falcon_sr_fast_calibrated,1,100,500,0.02,25,13670,0.457314629258517,0.9975980784627703,0.992988606485539,0.6865426866165361,0.1963927855711423,1.1634383750006236,16516118,,permutation_base_only
sparcc_py,2,100,500,0.02,25,124750,1.0,1.0,0.92625250501002,0.7631705503354671,0.21282565130260522,0.00467295899943565,9345800,,
pearson_clr,2,100,500,0.02,25,124750,1.0,0.9622493118364137,0.9258517034068137,0.7632263652084341,0.21282565130260522,0.0038018749983166344,2805040,,
pearson_raw,2,100,500,0.02,25,124750,1.0,0.06989708404802744,0.8829659318637274,0.6622552175636701,0.10821643286573146,0.0018714170000748709,3205952,,
spieceasi_mb,2,100,500,0.02,25,124750,1.0,0.37655172413793103,0.374749498997996,0.6584387112944141,0.1975951903807615,1.6691898749995744,7142872,,
